post,案件,縣市,鄉鎮市區,里,鄰,編號,投開票所,地址,同意票數,不同意票數,有效票數,無效票數,投票數,已領未投票數,發出票數,用於票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%),有效不同意票數對投票權人數百分比(%),有效同意與不同意票數對投票權人數百分比差值,odds,log_odds,post
屏東縣萬丹鄉268,第15案,屏東縣,萬丹鄉,萬生村,全村,268,農惠宮,屏東縣萬丹鄉萬生村成功街一段46巷32號,503,248,751,56,807,2,809,594,1403,57.52%,35.85%,17.68%,18.17,2.0278113663845225,0.7069570667995176,屏東縣萬丹鄉268
屏東縣長治鄉293,第15案,屏東縣,長治鄉,進興村,"10-12,14-23",293,長興國小南棟教室,屏東縣長治鄉進興村潭頭路50號,274,527,801,80,881,1,882,732,1614,54.58%,16.98%,32.65%,-15.67,0.5200151773856954,-0.653897280552421,屏東縣長治鄉293
屏東縣麟洛鄉318,第15案,屏東縣,麟洛鄉,麟蹄村,12-21,318,麟洛鄉立圖書館,屏東縣麟洛鄉麟蹄村中山路158號,282,173,455,49,504,0,504,302,806,62.53%,34.99%,21.46%,13.53,1.6296938186019643,0.4883921558257871,屏東縣麟洛鄉318
彰化縣北斗鎮860,第15案,彰化縣,北斗鎮,新生里,4-10,860,新生社區活動中心,彰化縣北斗鎮興農路一段５３７號,135,324,459,49,508,0,508,409,917,55.4%,14.72%,35.33%,-20.61,0.41684665226781853,-0.8750368651813486,彰化縣北斗鎮860
彰化縣和美鎮402,第15案,彰化縣,和美鎮,山犁里,1-6,402,和仁國小(一),彰化縣和美鎮仁愛路279號,191,500,691,34,725,0,725,430,1155,62.77%,16.54%,43.29%,-26.75,0.382123575284943,-0.9620112271786306,彰化縣和美鎮402
彰化縣員林市566,第15案,彰化縣,員林市,新生里,"16-20,31",566,員林高中(二),彰化縣員林市靜修路79號,170,347,517,26,543,0,543,367,910,59.67%,18.68%,38.13%,-19.45,0.4900605012964563,-0.7132264234659247,彰化縣員林市566
彰化縣埔心鄉741,第15案,彰化縣,埔心鄉,埤?村,全村,741,五龍宮,彰化縣埔心鄉菜寮路183號,165,358,523,46,569,0,569,373,942,60.4%,17.52%,38.00%,-20.48,0.46104440100530575,-0.7742609260783048,彰化縣埔心鄉741
彰化縣埤頭鄉910,第15案,彰化縣,埤頭鄉,竹圍村,全村,910,竹圍社區活動中心,彰化縣埤頭鄉竹圍路187號,140,328,468,76,544,0,544,538,1082,50.28%,12.94%,30.31%,-17.37,0.42700396220664427,-0.8509619866240947,彰化縣埤頭鄉910
彰化縣大村鄉591,第15案,彰化縣,大村鄉,新興村,全村,591,新興社區活動中心,彰化縣大村鄉新興巷6-3號,435,170,605,34,639,0,639,522,1161,55.04%,37.47%,14.64%,22.83,2.557907113462669,0.9391893903248184,彰化縣大村鄉591
彰化縣彰化市111,第15案,彰化縣,彰化市,新華里,14-21,111,彩鳳庵活動中心(二),彰化縣彰化市彰新路1段2巷1號,152,382,534,26,560,0,560,299,859,65.19%,17.69%,44.47%,-26.78,0.3980633342057053,-0.9211441551876072,彰化縣彰化市111
彰化縣彰化市12,第15案,彰化縣,彰化市,建寶里,1-15,12,南郭國小(三),彰化縣彰化市中興路98號,217,439,656,24,680,0,680,456,1136,59.86%,19.10%,38.64%,-19.54,0.4944204053746299,-0.7043691006834256,彰化縣彰化市12
